"glyph","hex","glyph_desc","glyph_script","alnum","alphabetic","block","gen_cat","indic_syl_cat","script","script_extent","ascii","basic_emoji","canon_combine_form","cjk_radical","default_ignorable","diacritic","emoji","equiv_uni_ideo","ext_picto","hangul_syl_type","hantype","ideograph","math","nonchar_code_point","radical","pattern_white_space","unified_ideograph","white_space","decimal"
" 𫠠 ","2B820","CJK UNIFIED IDEOGRAPH-2B820","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178208
" 𫠡 ","2B821","CJK UNIFIED IDEOGRAPH-2B821","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178209
" 𫠢 ","2B822","CJK UNIFIED IDEOGRAPH-2B822","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178210
" 𫠣 ","2B823","CJK UNIFIED IDEOGRAPH-2B823","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178211
" 𫠤 ","2B824","CJK UNIFIED IDEOGRAPH-2B824","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178212
" 𫠥 ","2B825","CJK UNIFIED IDEOGRAPH-2B825","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178213
" 𫠦 ","2B826","CJK UNIFIED IDEOGRAPH-2B826","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178214
" 𫠧 ","2B827","CJK UNIFIED IDEOGRAPH-2B827","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178215
" 𫠨 ","2B828","CJK UNIFIED IDEOGRAPH-2B828","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178216
" 𫠩 ","2B829","CJK UNIFIED IDEOGRAPH-2B829","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178217
" 𫠪 ","2B82A","CJK UNIFIED IDEOGRAPH-2B82A","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178218
" 𫠫 ","2B82B","CJK UNIFIED IDEOGRAPH-2B82B","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178219
" 𫠬 ","2B82C","CJK UNIFIED IDEOGRAPH-2B82C","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178220
" 𫠭 ","2B82D","CJK UNIFIED IDEOGRAPH-2B82D","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178221
" 𫠮 ","2B82E","CJK UNIFIED IDEOGRAPH-2B82E","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178222
" 𫠯 ","2B82F","CJK UNIFIED IDEOGRAPH-2B82F","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178223
" 𫠰 ","2B830","CJK UNIFIED IDEOGRAPH-2B830","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178224
" 𫠱 ","2B831","CJK UNIFIED IDEOGRAPH-2B831","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178225
" 𫠲 ","2B832","CJK UNIFIED IDEOGRAPH-2B832","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178226
" 𫠳 ","2B833","CJK UNIFIED IDEOGRAPH-2B833","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178227
" 𫠴 ","2B834","CJK UNIFIED IDEOGRAPH-2B834","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178228
" 𫠵 ","2B835","CJK UNIFIED IDEOGRAPH-2B835","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178229
" 𫠶 ","2B836","CJK UNIFIED IDEOGRAPH-2B836","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178230
" 𫠷 ","2B837","CJK UNIFIED IDEOGRAPH-2B837","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178231
" 𫠸 ","2B838","CJK UNIFIED IDEOGRAPH-2B838","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178232
" 𫠹 ","2B839","CJK UNIFIED IDEOGRAPH-2B839","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178233
" 𫠺 ","2B83A","CJK UNIFIED IDEOGRAPH-2B83A","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178234
" 𫠻 ","2B83B","CJK UNIFIED IDEOGRAPH-2B83B","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178235
" 𫠼 ","2B83C","CJK UNIFIED IDEOGRAPH-2B83C","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178236
" 𫠽 ","2B83D","CJK UNIFIED IDEOGRAPH-2B83D","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178237
" 𫠾 ","2B83E","CJK UNIFIED IDEOGRAPH-2B83E","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178238
" 𫠿 ","2B83F","CJK UNIFIED IDEOGRAPH-2B83F","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178239
" 𫡀 ","2B840","CJK UNIFIED IDEOGRAPH-2B840","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178240
" 𫡁 ","2B841","CJK UNIFIED IDEOGRAPH-2B841","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178241
" 𫡂 ","2B842","CJK UNIFIED IDEOGRAPH-2B842","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178242
" 𫡃 ","2B843","CJK UNIFIED IDEOGRAPH-2B843","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178243
" 𫡄 ","2B844","CJK UNIFIED IDEOGRAPH-2B844","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178244
" 𫡅 ","2B845","CJK UNIFIED IDEOGRAPH-2B845","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178245
" 𫡆 ","2B846","CJK UNIFIED IDEOGRAPH-2B846","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178246
" 𫡇 ","2B847","CJK UNIFIED IDEOGRAPH-2B847","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178247
" 𫡈 ","2B848","CJK UNIFIED IDEOGRAPH-2B848","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178248
" 𫡉 ","2B849","CJK UNIFIED IDEOGRAPH-2B849","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178249
" 𫡊 ","2B84A","CJK UNIFIED IDEOGRAPH-2B84A","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178250
" 𫡋 ","2B84B","CJK UNIFIED IDEOGRAPH-2B84B","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178251
" 𫡌 ","2B84C","CJK UNIFIED IDEOGRAPH-2B84C","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178252
" 𫡍 ","2B84D","CJK UNIFIED IDEOGRAPH-2B84D","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178253
" 𫡎 ","2B84E","CJK UNIFIED IDEOGRAPH-2B84E","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178254
" 𫡏 ","2B84F","CJK UNIFIED IDEOGRAPH-2B84F","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178255
" 𫡐 ","2B850","CJK UNIFIED IDEOGRAPH-2B850","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178256
" 𫡑 ","2B851","CJK UNIFIED IDEOGRAPH-2B851","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178257
" 𫡒 ","2B852","CJK UNIFIED IDEOGRAPH-2B852","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178258
" 𫡓 ","2B853","CJK UNIFIED IDEOGRAPH-2B853","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178259
" 𫡔 ","2B854","CJK UNIFIED IDEOGRAPH-2B854","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178260
" 𫡕 ","2B855","CJK UNIFIED IDEOGRAPH-2B855","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178261
" 𫡖 ","2B856","CJK UNIFIED IDEOGRAPH-2B856","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178262
" 𫡗 ","2B857","CJK UNIFIED IDEOGRAPH-2B857","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178263
" 𫡘 ","2B858","CJK UNIFIED IDEOGRAPH-2B858","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178264
" 𫡙 ","2B859","CJK UNIFIED IDEOGRAPH-2B859","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178265
" 𫡚 ","2B85A","CJK UNIFIED IDEOGRAPH-2B85A","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178266
" 𫡛 ","2B85B","CJK UNIFIED IDEOGRAPH-2B85B","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178267
" 𫡜 ","2B85C","CJK UNIFIED IDEOGRAPH-2B85C","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178268
" 𫡝 ","2B85D","CJK UNIFIED IDEOGRAPH-2B85D","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178269
" 𫡞 ","2B85E","CJK UNIFIED IDEOGRAPH-2B85E","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178270
" 𫡟 ","2B85F","CJK UNIFIED IDEOGRAPH-2B85F","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178271
" 𫡠 ","2B860","CJK UNIFIED IDEOGRAPH-2B860","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178272
" 𫡡 ","2B861","CJK UNIFIED IDEOGRAPH-2B861","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178273
" 𫡢 ","2B862","CJK UNIFIED IDEOGRAPH-2B862","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178274
" 𫡣 ","2B863","CJK UNIFIED IDEOGRAPH-2B863","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178275
" 𫡤 ","2B864","CJK UNIFIED IDEOGRAPH-2B864","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178276
" 𫡥 ","2B865","CJK UNIFIED IDEOGRAPH-2B865","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178277
" 𫡦 ","2B866","CJK UNIFIED IDEOGRAPH-2B866","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178278
" 𫡧 ","2B867","CJK UNIFIED IDEOGRAPH-2B867","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178279
" 𫡨 ","2B868","CJK UNIFIED IDEOGRAPH-2B868","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178280
" 𫡩 ","2B869","CJK UNIFIED IDEOGRAPH-2B869","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178281
" 𫡪 ","2B86A","CJK UNIFIED IDEOGRAPH-2B86A","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178282
" 𫡫 ","2B86B","CJK UNIFIED IDEOGRAPH-2B86B","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178283
" 𫡬 ","2B86C","CJK UNIFIED IDEOGRAPH-2B86C","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178284
" 𫡭 ","2B86D","CJK UNIFIED IDEOGRAPH-2B86D","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178285
" 𫡮 ","2B86E","CJK UNIFIED IDEOGRAPH-2B86E","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178286
" 𫡯 ","2B86F","CJK UNIFIED IDEOGRAPH-2B86F","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178287
" 𫡰 ","2B870","CJK UNIFIED IDEOGRAPH-2B870","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178288
" 𫡱 ","2B871","CJK UNIFIED IDEOGRAPH-2B871","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178289
" 𫡲 ","2B872","CJK UNIFIED IDEOGRAPH-2B872","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178290
" 𫡳 ","2B873","CJK UNIFIED IDEOGRAPH-2B873","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178291
" 𫡴 ","2B874","CJK UNIFIED IDEOGRAPH-2B874","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178292
" 𫡵 ","2B875","CJK UNIFIED IDEOGRAPH-2B875","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178293
" 𫡶 ","2B876","CJK UNIFIED IDEOGRAPH-2B876","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178294
" 𫡷 ","2B877","CJK UNIFIED IDEOGRAPH-2B877","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178295
" 𫡸 ","2B878","CJK UNIFIED IDEOGRAPH-2B878","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178296
" 𫡹 ","2B879","CJK UNIFIED IDEOGRAPH-2B879","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178297
" 𫡺 ","2B87A","CJK UNIFIED IDEOGRAPH-2B87A","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178298
" 𫡻 ","2B87B","CJK UNIFIED IDEOGRAPH-2B87B","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178299
" 𫡼 ","2B87C","CJK UNIFIED IDEOGRAPH-2B87C","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178300
" 𫡽 ","2B87D","CJK UNIFIED IDEOGRAPH-2B87D","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178301
" 𫡾 ","2B87E","CJK UNIFIED IDEOGRAPH-2B87E","Han Script",NA,"Yes","CJK_Unified_Ideographs_Extension_E","Other_Letter","Other","Han",NA,"No","No","Not_Reordered",NA,"No","No","No","null","No","Not_Applicable","Han","Yes","No","No","No","No","Yes","No",178302
